Route ID,On Parts tab,Planned Lane Rate,Lane Freq,IsRoundTrip,Mode,EquipCode,Miles,,,,,,,,,,,,,,,,,,
OMG21A,OMG21A,839.84,1,Yes,CON,GM-53CVAIR-U53,915.6000001,,,,,,,,,,,,,,,,,,
OMG22A,OMG22A,161.75,5,Yes,CON,GM-53CVAIR-U53,10.8,,,,,,,,,,,,,,,,,,
OMG26A,OMG26A,515.40,5,Yes,CON,GM-53CVAIR-U53,486.4,,,,,,,,,,,,,,,,,,
OMG48A,OMG48A,"1,818.03",5,Yes,CON,GM-53CVAIR-U53,1358.3,,,,,,,,,,,,,,,,,,
OMG59A,OMG59A,290.11,5,Yes,CON,GM-53CVAIR-U53,107.5,,,,,,,,,,,,,,,,,,
ONC01A,ONC01A,"1,612.34",5,No,CON,GM-53CVAIR-U53,1115.5,,,,,,,,,,,,,,,,,,
OSG01A,OSG01A,823.89,5,Yes,CON,GM-53CVAIR-U53,1239,,,,,,,,,,,,,,,,,,
OSG02A,OSG02A,880.74,5,Yes,CON,GM-53CVAIR-U53,1128.1,,,,,,,,,,,,,,,,,,
OWG01A,OWG01A,"2,750.57",2,Yes,CON,GM-53CVAIR-U53,2202.9,,,,,,,,,,,,,,,,,,
OYG15A,OYG15A,"3,738.79",4,Yes,CON,GM-53CVAIR-U53,2841.5,,,,,,,,,,,,,,,,,,
