Container,R / E,Container Price,
MAC26213,R,$350.00,
MAC26238,R,$400.00,
MAC26296,R,$350.00,
MAC26475,R,$250.00,
MAC26482,R,"$1,000.00",
MAC26500,R,$273.97,
MAC26501,R,$392.97,
MAC26502,R,$257.41,
MAC26503,R,$252.26,
MAC26610,R,$420.00,
MAC26617,R,$435.78,
MAC26639,R,$300.00,
MAC26721,R,"$1,600.00",
MAC26883,R,$350.00,
MAC26929,R,$550.00,
MAC26982,R,$517.81,
MAC26998,R,"$1,088.21",
MAC27073,R,"$1,200.00",
MAC27074,R,$500.00,
MAC27075,R,$580.00,
MAC27101,R,$251.32,
MAC27128,R,$171.31,
MAC27351,R,$282.91,
MAC27431,R,$450.00,
MAC27464,R,$428.46,
MAC27474,R,$623.73,
MAC27480,R,$325.00,
MAC27499,R,"$1,794.63",
MAC27501,R,$848.76,
MAC27503,R,$848.76,
MAC27537,R,$422.75,
MAC27611,R,$758.12,
MAC27612,R,$758.12,
MAC27663,R,$400.00,
MAC27715,R,$335.09,
MAC27762,R,"$1,500.00",
MAC27862,R,$350.00,
MAC27920,R,$450.00,
MAC28110,R,"$1,150.00",
MAC28141,R,$737.37,
MAC28142,R,$737.37,
MAC28223,R,$180.00,
MAC28273,R,$577.23,
MAC28347,R,$350.00,
MAC28349,R,$265.00,
MAC28424,R,$200.00,
MAC28445,R,$350.00,
MAC28648,R,$244.28,
MAC28779,R,$346.00,
MAC28802,R,$400.00,
MAC28913,R,$350.00,
MAC28929,R,$800.00,
MAC28960,R,$700.00,
MAC28989,R,$500.00,
MAC29333,R,$650.00,
MAC29351,R,$275.00,
MAC29675,R,$702.09,
MAC29714,R,$674.86,
MAC30138,R,$550.00,
MAC30726,R,$650.00,
MAC30952,R,$200.00,
MAC31060,R,$350.00,
MAC31172,R,$200.00,
MAC31214,R,$400.00,
MAC31320,R,$212.00,
MAC31710,R,"$1,500.00",
MAC31731,R,$350.00,
MAC31732,R,$300.00,
MAC31734,R,$350.00,
MAC31738,R,$300.00,
MAC31824,R,$300.00,
MAC31830,R,$400.00,
MAC31837,R,$300.00,
MAC31846,R,$350.00,
MAC31857,R,$300.00,
MAC31883,R,$615.00,
MAC32175,R,$350.00,
MAC32297,R,$200.00,
MAC32413,R,$275.00,
MAC32428,R,$350.00,
MAC32431,R,$745.00,
MAC32574,R,$400.00,
MAC32576,R,$400.00,
MAC32801,R,$700.00,
MAC32841,R,$450.00,
MAC33060,R,$350.00,
MAC33060-BC,R,$350.00,
MAC33127,R,$267.04,
MAC33130,R,$267.04,
MAC33223,R,$525.00,
MAC33233,R,$200.00,
MAC33600,R,"$1,100.00",
MAC33756,R,$199.40,
MAC33757,R,$275.00,
MAC33879,R,$275.00,
MAC33880,R,$275.00,
MAC33904,R,$275.00,
MAC34010,R,$250.00,
MAC34194,R,$400.00,
MAC34246,R,$525.00,
MAC34980,R,$350.00,
MAC36272,R,$300.00,
MAC36385,R,$275.00,
MAC36444,R,$225.00,
SC151208,R,$3.70,
SC151210,R,$4.40,
SC241210,R,$6.00,
SC241508,R,$4.89,
SC241510,R,$5.85,
SC241515,R,$7.95,
SC242309,R,$7.83,
SC242311,R,$8.50,
SC242315,R,$10.15,
SC321508,R,$10.00,
SC481508,R,$9.90,
SD151208,R,$3.70,
SD241508,R,$4.89,
SD241510,R,$5.85,
SD241515,R,$7.95,
SD242309,R,$7.83,
SD242315,R,$10.15,
SD321508,R,$10.00,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
